yy;aeronautica_6686;aeronautica_6690;aeronautica_6691;aeronautica_6692;aeronautica_6693;aeronautica_6694;aeronautica_6697;aeronautica_6707;aeronautica_6709;aeronautica_6711;aeronautica_6718;aeronautica_6720;aeronautica_6721;aeronautica_6723;aeronautica_6729;aeronautica_6730;aeronautica_6733;aeronautica_6736;aeronautica_6758;aeronautica_6769;aeronautica_6771;aeronautica_6773;aeronautica_6776;aeronautica_6777;aeronautica_6779;aeronautica_6782;aeronautica_6784;aeronautica_6794;aeronautica_6800;aeronautica_6803;aeronautica_6810;aeronautica_6812;aeronautica_6817;aeronautica_6819;aeronautica_6820;aeronautica_6821;aeronautica_6822;aeronautica_6826;aeronautica_6827;aeronautica_6828;aeronautica_6836;aeronautica_6839;aeronautica_6841;aeronautica_6850;aeronautica_6851;aeronautica_6853;aeronautica_6856;aeronautica_6858;aeronautica_6859;aeronautica_6865;aeronautica_6869;aeronautica_6874;aeronautica_6876;aeronautica_6881;aeronautica_6883;aeronautica_6884;aeronautica_6889;aeronautica_6891;aeronautica_6893;aeronautica_6897;aeronautica_6901;aeronautica_6902;aeronautica_6906;aeronautica_6919;aeronautica_6922;aeronautica_6923;aosta_105;aosta_106;basilicata_48;bolzano_102;bolzano_107;bolzano_176;bolzano_223;bolzano_28;bolzano_39;bolzano_5;bolzano_77;bolzano_83;calabria_108;calabria_140;calabria_18;calabria_2;calabria_26;calabria_265;calabria_380;emilia_12652;emilia_13119;emilia_9013;emilia_9036;emilia_9045;emilia_9075;emilia_9139;emilia_9146;emilia_9200;emilia_9210;emilia_9225;emilia_9277;emilia_9284;emilia_9371;emilia_9387;emilia_9588;lazio_240;lazio_276;lazio_281;lazio_282;lazio_289;lazio_333;marche_101;marche_104;marche_108;marche_109;marche_110;marche_123;marche_142;marche_151;marche_25;marche_605;marche_609;marche_701;marche_702;marche_703;sicilia_136;sicilia_147;sicilia_149;sicilia_22;sicilia_29;sicilia_48;sicilia_56;sicilia_60;sicilia_66;sicilia_82;sicilia_83;sicilia_85;sicilia_87;sicilia_9;toscana_17;toscana_464;trentino_6521;trentino_6525
1961;0.3886985851647444;NA;1.1283568061137057;0.9317067006750052;NA;0.38312504375372747;0.6154189012500839;NA;0.9364152930619944;NA;NA;1.1382843043006652;0.854321115385094;0.5098383223088447;2.6383993760114794;2.3159380880685667;NA;NA;0.5809740444786173;0.05800221975836628;NA;1.115608034500415;NA;NA;-0.0696016623030431;0.4347495905030865;NA;0.48426450084027906;0.7650521407853974;0.3709699411465053;NA;0.5761909147983282;0.10193889949604618;NA;-0.3779633246867977;0.4456256229197004;0.4311801772377226;0.2764238423752339;NA;NA;0.5232860012549967;NA;0.4002418056847823;0.40590387856203236;0.29725922859703857;1.4842238729246144;0.06587381496783529;NA;0.12462331276847394;NA;0.31860622973763775;0.2735936688452867;NA;0.250740359126814;NA;0.26841047438053245;NA;NA;NA;0.460280964502056;0.1371810704968599;NA;NA;NA;0.4353032624337576;0.40729950329980014;NA;NA;0.06431591186250607;NA;0.6911555093548978;1.1857374402806018;-0.21447113047418942;NA;1.0551274373351376;NA;0.8886535555914032;NA;0.6424181946557859;0.5956462484570793;-0.8131573673686212;0.6766844300144292;0.7192363160878177;0.2474803327414552;-0.5428236291887583;NA;0.8294300854149919;0.2563812334104325;0.7156125807554616;1.0058263278683803;NA;NA;0.6944060361012525;1.1006696191110512;NA;0.24961292556370474;0.32855709480093864;0.9183015818301992;1.2565223754055115;0.6346123941357531;0.8418794037760948;NA;0.8599746504022399;0.8033272457484033;NA;0.23493863110687307;0.4363781950550596;NA;1.7540149519454307;0.3349103398249671;0.5799088020451038;0.5003449021688624;1.1853629123979115;0.8696115476364366;NA;0.47311316989685537;0.1294394709256288;0.3853505917601101;0.4589864506605341;NA;0.6487030884656431;0.2764329275123547;0.5470915405712393;0.13739936148389909;NA;-0.2657102232426354;0.13750727951636854;NA;-1.2393863940493937;0.4362505544346469;0.32709136293813756;0.42955796156116044;NA;0.514425155751475;0.5171814064689482;0.46598630236235206;0.5002586078561393;NA;1.0909347090401873
1962;-0.9827239169098714;NA;-0.8818370306596639;-1.1210102732113236;NA;-0.8433284892723858;-0.6651183064645432;NA;-0.7211902288484957;NA;NA;-0.10357565473671304;-0.41625163299494083;-0.9428799316594096;-0.6320523818771537;-0.4966581740922109;NA;NA;-0.9681322817745386;-0.530779142248802;NA;0.017917942334515047;-0.23823815977277185;NA;NA;-0.02421842358914006;NA;-0.47400866864256663;-0.3528052865343958;-0.43056579875593926;NA;-0.4721532450586228;-0.13226360946452687;NA;-0.739207564318134;0.05247479556142043;-0.48156862213371276;-0.40071773468569827;NA;-0.15011855051014145;0.36474391991044985;NA;-0.45045182215567436;0.011439350073588983;0.12241859879673278;0.983762107112458;0.047119974722059865;NA;0.053315069040875684;-0.8871247370381541;-0.04677289521601402;-0.1272156298463809;NA;-0.10487913921839898;-0.5519403783893075;-0.15263963948752668;NA;NA;NA;0.4203079044080287;-0.06623226795680104;NA;NA;-0.18251302572691408;-0.2639882122206192;-0.16867655916819757;NA;NA;-0.3858658597708784;NA;-0.8295562161955377;0.17188055343984399;-1.2910168293989206;NA;-0.17607287221194623;NA;-0.8464251694469995;NA;0.3492698331606494;0.160394072317807;0.2361251467122809;0.356729232881813;0.23643933708116194;0.4286957705294743;0.016759064103613497;-1.0134534529421702;0.08323384885585217;-0.3819687409879293;0.22208339488756668;-0.5283038564634168;0.1477987635543645;NA;-0.34063300639746785;-0.31091192210758667;NA;-0.15817189266466158;-0.22606400094918966;-0.30837340536898195;-0.13843730201384297;-0.24555337647356534;-0.08383488193819044;NA;-0.06405184729361402;0.09843097652510391;NA;-0.07809836326076613;-0.17085490786352864;NA;0.6050294168711847;-0.021170689360900496;-0.47103205816994986;0.16806763642385647;-0.01691179318324565;0.21699442014027692;NA;-0.015304008802580427;-0.3400049735188153;-0.16840388852662969;-0.02610315507423344;NA;-0.04755459202590906;0.01478226186975462;0.24377740846678542;0.07995568508860984;-0.2243549030527845;-0.14984936814790828;0.18091613768329218;0.5271235566047086;0.0848660381062647;1.1319597198212321;-0.5751006028022143;0.13205092111057048;NA;0.21037113629422954;1.2016469722651593;-0.47840885892797047;-0.26125380893853567;NA;-0.8193059463617587
1963;-0.4351301398736581;NA;-0.1785425264780628;-0.5034840315318561;0.8412011723704944;-0.10194344062927208;0.0034243202635675374;NA;-1.019430317286953;NA;NA;-0.3485826951873019;-0.21980378922182808;-0.47217972684630194;-0.3395614995841765;-0.5469769144915961;NA;NA;-0.6797507467356065;-0.3396827520798311;NA;-0.16462302028709175;-0.37149084794481446;NA;-0.1965892879193918;-0.4807725676659942;NA;0.20860461860781676;-0.12003618486744472;-0.1523129536389849;NA;-0.19387732413531644;0.06875149550218929;NA;0.06690354679297705;0.39633344803241943;0.37750620969000614;0.013623663163762956;NA;0.05954062890339529;NA;NA;0.03630747388754685;-0.12038644401861198;0.3071568220430194;-0.004865354290307877;0.4458149311992745;NA;0.41512766504702014;0.26471451502523546;0.1441282824593575;-0.18108730384041216;NA;-0.18278684531158973;-0.04124721402678766;-0.036724763464196286;NA;NA;NA;-0.18613352602533695;-0.04191071137718083;NA;NA;0.1562158529213189;-0.11512456939192184;-0.08848966720711182;NA;NA;0.23035021805810185;NA;-0.4382927753353226;-0.14086906253557885;-0.1639942999570364;NA;NA;NA;-0.20358722781873517;NA;0.33997131805568337;-0.10958800653523859;0.4634760171679897;0.7386717572033703;0.4831527267380995;0.3651697848663904;0.3546494890908125;-0.6692848661526165;-0.12710857305915013;-0.2551939073985796;-0.12012090618770266;-0.17068736900821957;-0.6599770941005252;NA;-0.5055235593928593;-0.6643873445346218;NA;-0.5003032290701919;-0.8877684300326512;-0.5362721508886952;-0.32240427590017173;-0.2751891931658337;-0.2081129157323538;NA;-0.2264283193878267;-0.07540990929158875;NA;0.14525737150625773;0.10429742188557611;NA;0.11314321615433975;-0.15588779125542196;-0.3044050740429656;0.3393701197827905;0.7684505863726816;0.2896595507086328;NA;0.0012333695896362684;-0.22730208053366496;-0.05880135396441766;-0.01748820371734716;-0.765447345551495;-0.31997202674173053;0.01955696745091018;-0.4063345987016742;-0.11984846237682767;-0.5701690351572388;0.5333924393277698;-0.11788954588045542;-0.6185939293143896;0.283508511224543;0.3906764376911749;-0.08516734161895378;0.41659963404638134;NA;-0.2774207223847256;-0.33981360121154225;0.016354965956821843;0.02520804462009174;NA;-0.3919493155373859
1964;0.3887948782240518;NA;0.7500895514921687;0.6236055035777013;0.14856454602975222;0.27883590855942053;0.42470351937368944;NA;0.10234799606533151;NA;NA;0.28743625002519213;-0.5653638078982732;0.053549963991843086;-0.3703496573059635;-0.048174320780772106;NA;NA;0.5591737416730309;0.019351293685303972;0.7298425619805098;0.055551423980789494;0.2242696310706691;NA;0.11443342649180988;0.12225994396264106;NA;0.4615807649432515;0.2621565120935134;-0.015219301177795685;NA;-0.1552121626684304;-0.29792911964338664;NA;-0.19434691668496207;-0.1924919223085242;0.26963057185608186;-0.08624622593860565;0.31748017521005956;-0.06614833227824324;NA;NA;0.42069501108839624;0.17070983579846732;0.5677078752414602;0.3781145140677573;0.17015846987540506;NA;0.009887539334146211;-0.11149849745631624;-0.00482019645018994;0.20782601695694503;NA;-0.13720434182446795;0.14030890211637015;-0.04585766000022673;NA;-0.21138008053057433;NA;-0.016357518291878037;0.0738197519241961;NA;NA;0.05654772519562812;0.2429238108385121;0.16775163706394736;NA;NA;0.6316824964273664;NA;0.5985894747838576;0.4267231475037949;0.8525534073720948;NA;0.46756530922100703;NA;0.6158148414999078;NA;0.43345214772533325;0.020300648407642896;0.44278267624244627;0.6625873512496643;-0.05683767264746109;-0.1178430424373147;0.273228090535099;NA;-0.035904766360348894;0.20646481393199956;0.4641272443146196;0.478963036203921;0.2902119386872286;NA;-0.162032555278941;0.18681935338369993;NA;0.2741407960370701;-0.6649592240365703;0.4442180763479171;0.40310665335102414;0.46722292258888487;0.32556632663570984;NA;-0.09668104728655003;0.04471057290203051;NA;0.06887786252802819;-0.012397671427981649;NA;-0.20422848873822197;0.14125755984015154;0.14269966755704822;0.020629919030632493;-0.15209700779560187;0.6072367528909517;NA;0.0597246826888469;-0.3320178140647485;0.07808316940369942;0.10317048671470275;-0.049579758991471934;0.13367733233449108;-0.023577313143047007;-0.27756268281629914;0.06424212769679905;-0.6938575250136942;0.3791359682929336;-0.03423460299859471;NA;-0.08359669385340851;-0.6235273292809449;-0.03561186110268366;-0.2042027646425577;NA;NA;-0.5617553530698682;0.5642077168087383;0.5481278011396817;NA;0.721982323673731
1965;NA;NA;-1.1003437783099042;NA;-0.7465897098614338;-0.6719837632099175;0.2100967539868912;-0.43702671351553946;NA;NA;-0.7616775900175661;-0.7557940367131595;-0.5034207318172657;-0.7512087847060043;-0.27998268711140817;-0.5999422242714232;-0.38228965882817434;NA;-0.7007773945100295;-0.3476755836210508;-0.4301731251537344;-0.5873719962215525;0.20717299886836393;-0.4070780785862542;-0.6700975050761073;-0.19901345063806097;NA;-0.2499328877925926;0.2660119784387831;-0.08518340587725426;NA;-0.6625948156455781;-0.48707095713477777;NA;-0.20595807635090324;-0.14906081720055564;-0.2350032683112211;0.278369003103764;-0.37922502633663235;1.0989830017504758;NA;NA;-0.24266682736428535;-0.27970742676840565;-0.028067832334860654;-0.3458020109472102;-0.43884008672187313;NA;-0.4945548746355204;-1.000685082639147;-0.356929656017936;-0.178752108257628;-0.24716900512539652;-0.08478500103054465;0.05173930538631666;-0.11961600260311833;NA;0.1824820811305301;0.06676389250597836;-0.2682859837826346;-0.38624116231914307;NA;NA;-0.09192674820515201;-0.26506924140648636;0.12194300048362017;NA;NA;-1.043282654445738;NA;-1.0838508910547284;-1.5975510901853482;-0.5864738186462324;NA;-0.9790981131000907;NA;-0.7320242477880134;-0.3786109822201036;-0.06370443719265317;-0.3363948421727194;-0.24860859624726928;0.055154732113763316;-0.6949476316848404;-0.7778569688458461;0.24303850598789367;0.037038098517122364;-0.4901206058292473;-0.48121093248818525;-0.8686296107447942;-0.30910518774861906;-0.376634800193715;NA;-0.5830254795157472;-0.2622368069002139;NA;-0.13519122190173327;-0.9674880920910227;-0.41729968147823904;-0.34042142899797057;-0.09119469751811238;0.07215718155387307;-0.3775373530721602;-0.3233868447334487;-0.3780372774431502;NA;-0.27006584917986487;-0.21865700719788528;NA;-1.1554198918845753;-0.5764075045170705;-0.5698223807505949;-0.7814248110927853;-1.055160641109513;-0.3088158717184024;NA;-0.5700511926223442;-0.2984733554952621;-0.4341399356336435;-0.22139245358933834;-0.8287819589667533;-0.49063382909708153;-0.16533998595410715;-0.2996256893314744;-0.08581492423038561;-0.6324975041792573;-0.5550970640004422;0.2722410224759191;-0.44215831743522926;0.2194493714395982;0.002739289713705517;-0.2696860308150626;0.1725943158878369;NA;NA;-0.5151534629626955;0.0832853295000886;-0.5034005063271678;-0.4781784722598166;-1.071004173668996
1966;0.26625170856464186;0.7020120588474557;-0.5222665055023756;-0.12332501445821165;0.5252964246442782;0.6241939121613065;0.688102710715039;0.599208678346475;0.19419751336164204;0.7818205231101807;0.4106931879191187;0.2755142070144396;0.3612285257352177;0.3850130534916403;0.453163167055024;0.4831235719395348;1.0177751839424527;1.0145433200742442;-0.043750674148585356;0.46291325406456174;0.18505262783851784;0.250578592616133;NA;0.8677152628654099;0.3604713448726091;0.27630656984324986;NA;0.27900976453715565;-0.2030064604823254;-0.008642647321757124;0.4482209835089286;-0.6244170532234339;0.3102267899210336;0.33935750012169663;0.10281176491893795;0.25372848131454884;-0.024216081195612915;0.3714913556616004;0.5670347067000758;0.2473245432271689;0.5463682938473928;1.0993596617885082;0.27877689415266715;0.02459102212542774;0.01646610749246058;0.23402191157693508;0.1810325451265662;NA;0.029661715226231067;0.07132720001667447;0.11963559216855835;0.02439400696347782;0.05020514957912603;0.02000947158372668;-0.004906968251058075;-0.03234098313214062;-0.7005510753997708;-0.10008369742412526;0.2844211071654179;NA;-0.38407817699153135;NA;0.15546890876873043;-0.1315885196619746;0.07659614517825375;-0.04097622634689557;NA;NA;0.28702648533920794;NA;0.5933828519048208;0.6026102001372324;0.7743422335811101;NA;0.12278360733001703;NA;0.6054757522119867;0.6736861247947454;0.285909618106885;-0.08069783756442561;0.24324880262626003;0.12925227435646747;-0.3027247694216548;0.199941930283698;0.1403727353785751;0.47149470373985736;0.31367995740679966;0.39022659951386274;0.42255062479028016;0.7520468859841003;0.7935584921769969;NA;0.22795698336187797;0.8697204383634833;0.09165436022388107;0.7985645384669304;1.178062343136832;0.6862120614342273;0.054842907919592676;0.32322670545167753;0.6967040325523364;0.13581902173582705;0.08577534164647993;-0.09733579254811664;NA;0.11668018256616541;-0.0527737506694681;NA;1.2679576042751801;0.3707577540594782;0.4470337380410072;0.19645281307516171;NA;0.13261525987401956;NA;0.20558948838123925;0.3102913654468784;0.14991600394648863;0.5748876283359046;0.38720434415664595;0.6144557766376852;-0.86267434335298;0.10272774128808493;-0.0044778786594683595;-0.26383262962728615;-0.7310699262636273;0.20999703886096732;NA;0.5467095306352405;-0.908633598151118;0.042097123306801265;-0.8268908002505047;NA;NA;0.2544804336066857;0.22238159166086735;0.30410397395957034;0.08869810822447555;0.08315949142625989
1967;0.1819907878020528;0.2821273996239011;0.7320515198167621;0.36401976457316365;0.4075442926457613;0.302520845085013;0.29255130439055144;0.3072115371961077;0.47087843994477474;-0.06087596946534379;-0.15512070141117817;0.4352460298511005;0.14436920673880138;0.25698181949266363;0.10303946994300794;0.15142746338858792;0.29508381169462794;-0.004431873801765462;0.5371223000359389;-0.061762245167388485;0.48641399496601423;0.20621863357875547;1.957598421301574;-0.05663073164187438;0.5529272482573226;0.4434735278389059;NA;0.21540761399952046;0.6587279671493955;0.14890038991538468;-0.1921128618571739;0.7454424587884709;0.3966649619640439;0.0595847146634263;0.12659213375909495;-0.25107630619185173;0.28255344029897245;0.39953892174031225;0.24775667290591308;0.027361475797748724;0.22451751608727122;-0.16704258477224876;0.5913180284327701;0.20379622367211958;-0.05775485230413935;-0.46101322446487547;-0.20236287218014226;NA;-0.20708943684750203;0.2527115791916543;0.20975119680863408;0.06928391991790761;-0.061480144486591115;0.15378253512875872;-0.06210294879381273;0.3823834853641106;NA;-0.23913951782421705;-0.30403639411466443;-0.23120713073603838;0.07072561734785943;-0.07607210950034826;0.00927120553265226;-0.3864729591626528;0.24917615029858275;0.0590730568072253;NA;NA;-0.332579249427817;0.23210864997972214;0.6255065078187991;0.6048957864147537;0.18063639640753093;0.219014875802626;0.8323114316562279;0.4317859285523009;0.3078055013159293;-0.09724961509260731;-0.16287878435087144;-0.009776664126565748;0.6723457048280004;-0.8996212535493182;-0.16581040690245352;-0.33533072716637946;0.29004375432378815;-0.30433990967540137;0.4673851545394161;-0.18613668773652137;-0.3103052379849376;4.397431269564933e-4;0.8327654814243086;0.41810459733157934;0.26804402893279367;0.8285069206983531;0.18012018203647706;0.4964812051335983;1.0775579908582862;0.7356652531051604;0.1562157957844157;0.3586811345351393;0.12423859476431787;0.013282671823224845;0.0761075229060797;-0.37725002705912525;NA;0.11182931211045677;0.3457029518394936;NA;0.4774506918327823;0.33123522461759425;0.3385429546308698;0.04682467687444358;NA;0.11544488096976924;NA;-0.12114822283227866;-0.07399114863402279;0.23954670031105607;-0.005137973302600685;0.8782188090824024;0.9236614858030725;0.2704159024227497;-0.008979888000189007;0.13605527546239493;-0.006995072023599391;0.7697627670287428;0.7842853133105319;0.10689250181720311;0.22017901813698693;0.08119615095282384;0.28385211562630985;1.1149944694976686;1.1739741296212038;0.13641376302234143;0.0445444377029478;-0.13661802431455516;0.4674104255724725;0.6600255727990669;0.21238312173859963
1968;1.1043719784813522;0.08905392292139247;-0.15592542105228102;-0.11804025508418614;-0.15353967190038365;-0.08768893385808063;-0.2691690153650854;0.17432197295365093;-0.28524865012002376;0.1972948155338612;-0.1396487925883232;-0.10917140045064588;0.009752679556925159;0.06310996893560805;-0.180949221195295;-0.24868507346894297;-0.19106607707066559;-0.20347758498781765;-0.10867856777132512;-0.23254433108295736;0.07569536138725752;-0.24950048554831739;NA;-0.5962347890601691;-0.1312510715689399;-0.2739733046204389;-0.16858129809893363;-0.24012452488495306;0.07325755420771829;-0.012459344004136952;0.3055372387837494;-0.014566559970548454;0.08450259460701481;0.17143004104017656;0.334802137820045;0.22320792937853629;0.19536301903921505;0.1474513729647775;-0.12669417194815757;-0.13573423067995538;0.17465522543706857;0.0053132345413011706;0.00437437361740578;0.22545492293231995;-0.611426965940101;-0.44105299528606956;-0.045199953063663756;-0.3810681897745827;0.08959276736529276;-0.016206906074160976;0.18107091713280354;0.10143743705334884;0.045038861542055386;-0.2731057181332428;0.2850329782503458;0.040278456849183186;1.3746627455092675;0.413214905962354;0.18026644678439396;0.018084763255520997;0.05663553489292639;-0.035624438857091434;-0.06509903830088426;0.12355273075736406;0.07778414948639245;-0.027497405081645;NA;NA;0.026148569842271208;-0.29935289459361325;-0.4449311036366098;-0.42552966426236516;-0.14983165009916943;-0.4007870646250095;0.05759311789731392;0.016226665173237453;-0.1972428769526937;NA;-0.5796834350209288;0.21338710249242787;0.08169288511650485;0.13816329983451325;-0.036501187664146784;-0.025456749024881375;0.010346184713815987;0.19151260281643268;0.0229513700875561;-0.09590417630406556;-0.5181471964220017;0.04452168161239989;0.2693999253390631;-0.02772096722869044;0.0795061914767139;-0.26060340029322493;-0.3685419999293753;0.27986783842985297;0.8837396388975534;-0.11614590832641225;-0.22601026668358237;0.035813331685411676;0.015069169300399032;-0.014920755265073637;0.13537524983370552;0.17924524105182682;NA;0.03323362819358344;0.07313316530418845;-0.9563991872064248;-0.5113555434904153;-0.11965827256622585;-0.03983895560448936;-0.09502574775962813;-0.12824581511237376;0.3336491246620552;-0.5706002048898746;-0.13264677942955672;0.22009317345224577;-0.19433556746442626;-0.10767211617739925;-0.16082002595476474;-1.0446266473960732;0.2538803558719085;0.1428352902401837;NA;0.12414735695392487;0.3894879025408642;0.31843163108866257;0.32203092722815363;0.44479071190607655;0.24512425890345746;0.3073982736149041;0.741454756059456;0.5471376454404488;0.05455797528640893;0.34467957462757326;-0.048413096440550696;0.007336489806101909;NA;-0.742568102725973
1969;-0.17987092328379672;-0.3136619842299986;-0.21639664569341688;-0.09506692394808192;-0.34336547040666043;-0.3084219352529285;0.5788381940242151;-0.29139381354633986;-0.5946794109300946;-0.16271414503961523;-0.45732367826376574;-0.42423809713302596;-0.21280181220641037;-0.08164721276540021;-0.15951866343270105;-0.2268085837184266;0.1797036765967519;0.06313901587516746;-0.36075950222433983;-0.09404719140394846;-0.14053620984709347;-0.14991359888412248;NA;-0.24795369631161357;0.12853010063297798;-0.5929324214521934;0.0801101792841461;-0.0842237224060085;-0.09634762879985637;-0.14191374218906994;-0.0542463390893726;-0.27862337255674596;-0.02922661509688851;0.364455426388977;0.2498131730090556;0.12983895238469767;0.2508204572395165;-0.2228332466301879;0.12032451724795123;-0.005288583377614842;-0.18960876178761588;-0.35090198254293625;-0.4489984656925863;0.08447658721538609;-0.35178263008191557;-0.25939034542820316;0.11055443452748825;-0.0314274293176382;0.09194474133990305;0.09437561457880861;0.3181839351245763;-0.14873067301603982;-0.27491076404624337;-0.35796733686304805;-0.11694165847123195;-0.30507683209620673;0.23923076225748297;0.04220392815632579;0.60308854188124;-0.10608168270736584;-0.2244092326618521;-0.35644522395438827;-0.3237408493078231;-0.248429564385388;0.05640413288946711;-0.2868710036126423;NA;NA;-0.11716258276114999;-0.28863827782365736;-0.3328332259241603;-0.15011573432257297;0.34605242303323513;-0.6713537877918438;-0.28069821550664464;-0.07960424041851333;0.05424687356375335;-0.7139674850362836;-0.46581593232834173;0.2656193667366491;0.026499570675413864;-0.39761344504957385;0.3556181645261187;-0.34605205333125255;-0.12059372647498279;-0.09194999672097204;-0.6474324337862365;-0.17871861297973624;-0.7770864719839135;-0.6183915420752957;0.1860002484493979;-0.10347374368224482;-0.08436764541436403;-0.4687396230804488;0.014956971591008283;0.17777856816483073;-0.7642757264996245;0.0678036299612792;-0.12068512587457025;-0.3835500482605596;-0.20178291061202547;-0.09856909910390677;-0.016777561049638123;-0.0954588821228195;NA;0.02883648056923782;0.042164805398121175;-0.21518160859173818;-1.1183160772404381;-0.29010950144487424;-0.2295574037920698;-0.2695162089422478;-0.4769930783854992;-0.41213192394574527;-0.6906339504978707;-0.09071619518250884;0.013557494479136345;-0.3743671501753756;-0.005978347086522007;-0.2701830086339321;-0.3268710282778291;-0.08813888508365153;-0.02471401498431547;8.43421903766739e-4;0.17186565506293405;-1.2953319590337244;-0.41028137895777306;-0.2831695821561713;1.2413490130166576;-0.16402530322024234;-0.3536440441279147;0.6906319502964386;-0.6168207430688302;-0.16326813661923723;0.3231305872165162;NA;0.031039457830537742;0.33104812551516805;-0.4606564327928897
1970;-0.28053252945800944;-0.4587490298009156;-0.7099885555756491;-0.5890643941923077;-0.3094360382333461;-0.5080903940342907;-0.5515095568838801;-0.3281206440634925;-0.7170335698721297;-0.49191667607056644;-0.14147182788327228;-0.22504326866400426;-0.1331307932611976;-0.22763799617553815;-0.21236013632144868;-0.41046961802462256;-0.37966913249380063;-0.15701932890080705;0.021921001022533693;-0.2215657525918644;0.21311522384466208;0.0015732162720478726;NA;-0.5663471934954334;-0.12941472783604446;-0.1655245873508111;-0.23993334350131246;-0.2603348335171205;-0.058207516721572095;-0.054364459034948354;-0.1270448188817337;-0.0469231907949208;0.02526327225590208;0.30185301983495627;0.09156560516471224;0.21785930568730816;-0.06497703644081021;-0.7179370127194922;-0.38515679355594123;0.3231371703582049;-0.06834852113221412;-0.15448557189265522;-0.5417295204800929;-0.13697822589265307;0.2613260488735367;-0.04551527259595467;-0.24624984094614355;-0.042104080132867594;-0.20212463910044498;-0.04549196805759159;0.3068535768782006;-0.14449616200733573;-0.15864807357887933;-0.19603569323785663;-0.13600975882965471;0.01830322422739883;0.03477838564715441;0.31723657024542007;0.1016164476672099;-0.12895546662953628;-0.2200411517253631;-0.07007019526289682;-0.06944999262402973;0.09858464452398152;0.1115731037036003;0.06229054272632517;0.34422677956101344;NA;-0.013274973954186642;-0.4314762194519216;-0.3727077778954865;-0.4184849099498136;-0.20999980430931475;-0.18961543653736368;-0.32246344848155495;-0.29362113749992647;-0.02714073524321048;-0.6533620062856437;-1.0600472431322334;-0.24348521595664252;-0.38765045492622363;-0.8750584015267879;-0.01251483598591463;0.38080726566516176;-0.035897105891265824;-0.08786461525655831;-0.8489422904170612;-0.3769540200457895;0.5219214645240227;-0.569166401168193;-0.36855364299965476;-0.011871081111840986;-0.2395071743442152;0.003991431707057735;-1.124219935731059;0.09360742121142707;-0.12134625901370555;0.00828942105190933;-0.10878996458424783;-0.257266126089541;0.08099934745249016;-0.03281705097282561;0.06466295045344239;-0.3558643383750497;NA;-0.14148417995303575;0.2038346722696005;0.29955469453166117;-1.7982187910141185;-0.38656879483965145;-0.1051564821330837;-0.21698484693507858;-0.3741890589282537;-1.1791403724864518;-0.9862208680605935;-0.2614221603642797;-0.33170620239746373;0.04813797015232524;0.1451903677112245;-0.1488203614245105;-0.18477617420716896;0.20807143237666637;0.09943921082213691;0.08660123040351131;0.31993529151966804;0.7154399303671966;0.1539876942629128;-0.3740029154895055;-0.3210197785860043;0.2232353214597378;-0.14816465344691032;0.23920209878594179;0.18440813557940317;0.2666806601037539;0.617449583632288;-0.37354582769397204;0.012857814205345264;0.05215177416331063;-0.7276235346874111
