regione;SiteId;cluster;subcluster
abruzzo;2;1;11
abruzzo;606;1;11
abruzzo;1112;1;11
abruzzo;1540;1;11
abruzzo;1938;1;11
abruzzo;1940;1;11
abruzzo;1955;1;11
abruzzo;1972;1;11
abruzzo;1982;1;11
abruzzo;1994;1;11
abruzzo;2003;1;11
abruzzo;2023;1;11
abruzzo;2024;1;11
abruzzo;2031;1;11
abruzzo;2041;1;11
abruzzo;2049;1;11
abruzzo;2071;1;11
abruzzo;2076;1;11
abruzzo;2085;1;11
abruzzo;2137;1;11
abruzzo;2258;1;11
abruzzo;2261;1;11
aeronautica;6773;1;11
aeronautica;6777;1;11
aeronautica;6787;1;11
aeronautica;6794;1;11
aeronautica;6810;1;11
aeronautica;6817;1;11
aeronautica;6821;1;11
aeronautica;6834;1;11
aeronautica;6851;1;11
aeronautica;6859;1;11
calabria;7;1;11
calabria;10;1;11
calabria;20;1;11
calabria;26;1;11
calabria;34;1;11
calabria;157;1;11
calabria;255;1;11
calabria;327;1;11
calabria;338;1;11
lazio;240;1;11
lazio;278;1;11
lazio;333;1;11
liguria;1;1;11
marche;25;1;11
marche;151;1;11
molise;4;1;11
molise;6;1;11
molise;9;1;11
sicilia;13;1;11
sicilia;16;1;11
sicilia;24;1;11
sicilia;26;1;11
sicilia;29;1;11
sicilia;30;1;11
sicilia;32;1;11
sicilia;60;1;11
sicilia;82;1;11
sicilia;84;1;11
sicilia;136;1;11
toscana;17;1;11
toscana;418;1;11
toscana;461;1;11
toscana;464;1;11
toscana;518;1;11
toscana;538;1;11
toscana;595;1;11
toscana;625;1;11
toscana;632;1;11
toscana;651;1;11
toscana;666;1;11
toscana;684;1;11
toscana;734;1;11
toscana;758;1;11
toscana;848;1;11
toscana;876;1;11
aeronautica;6747;1;12
aeronautica;6750;1;12
aeronautica;6771;1;12
aeronautica;6812;1;12
aeronautica;6819;1;12
aeronautica;6822;1;12
aeronautica;6839;1;12
aeronautica;6841;1;12
aeronautica;6850;1;12
aeronautica;6856;1;12
aeronautica;6867;1;12
aeronautica;6869;1;12
aeronautica;6870;1;12
aeronautica;6874;1;12
aeronautica;6897;1;12
calabria;71;1;12
calabria;140;1;12
calabria;177;1;12
calabria;217;1;12
calabria;246;1;12
calabria;265;1;12
calabria;284;1;12
calabria;345;1;12
lazio;276;1;12
liguria;6;1;12
liguria;89;1;12
liguria;155;1;12
liguria;177;1;12
liguria;215;1;12
liguria;288;1;12
liguria;296;1;12
liguria;312;1;12
liguria;339;1;12
liguria;343;1;12
liguria;355;1;12
liguria;377;1;12
liguria;383;1;12
sicilia;85;1;12
sicilia;86;1;12
sicilia;87;1;12
toscana;373;1;12
toscana;392;1;12
toscana;474;1;12
toscana;763;1;12
toscana;870;1;12
toscana;956;1;12
toscana;979;1;12
toscana;991;1;12
