regione;SiteId;cluster;subcluster
abruzzo;2;1;11
abruzzo;1112;1;11
abruzzo;1540;1;11
abruzzo;1940;1;11
abruzzo;1965;1;11
abruzzo;2014;1;11
abruzzo;2022;1;11
abruzzo;2037;1;11
abruzzo;2041;1;11
abruzzo;2071;1;11
abruzzo;2085;1;11
abruzzo;2256;1;11
abruzzo;2280;1;11
aeronautica;6747;1;11
aeronautica;6750;1;11
aeronautica;6776;1;11
aeronautica;6803;1;11
aeronautica;6817;1;11
aeronautica;6819;1;11
aeronautica;6820;1;11
aeronautica;6822;1;11
aeronautica;6827;1;11
aeronautica;6834;1;11
aeronautica;6919;1;11
basilicata;156;1;11
basilicata;177;1;11
calabria;7;1;11
calabria;18;1;11
calabria;26;1;11
calabria;338;1;11
emilia;13156;1;11
friuli;409;1;11
friuli;420;1;11
liguria;3;1;11
liguria;177;1;11
liguria;288;1;11
liguria;339;1;11
marche;152;1;11
marche;609;1;11
marche;1670;1;11
molise;6;1;11
sicilia;44;1;11
sicilia;48;1;11
sicilia;60;1;11
toscana;373;1;11
toscana;392;1;11
toscana;464;1;11
toscana;474;1;11
toscana;595;1;11
toscana;625;1;11
toscana;684;1;11
toscana;751;1;11
toscana;839;1;11
toscana;870;1;11
toscana;976;1;11
abruzzo;1975;1;12
abruzzo;1994;1;12
abruzzo;2034;1;12
abruzzo;2043;1;12
abruzzo;2258;1;12
aeronautica;6773;1;12
aeronautica;6777;1;12
aeronautica;6782;1;12
aeronautica;6787;1;12
aeronautica;6794;1;12
aeronautica;6810;1;12
aeronautica;6814;1;12
aeronautica;6826;1;12
aeronautica;6828;1;12
aeronautica;6851;1;12
aeronautica;6853;1;12
aeronautica;6884;1;12
basilicata;48;1;12
basilicata;147;1;12
calabria;17;1;12
liguria;4;1;12
liguria;8;1;12
liguria;39;1;12
liguria;66;1;12
liguria;89;1;12
liguria;328;1;12
liguria;343;1;12
liguria;363;1;12
marche;25;1;12
marche;104;1;12
marche;110;1;12
marche;123;1;12
marche;151;1;12
marche;608;1;12
molise;2;1;12
molise;4;1;12
sicilia;24;1;12
sicilia;32;1;12
toscana;376;1;12
toscana;461;1;12
toscana;508;1;12
toscana;518;1;12
toscana;632;1;12
toscana;712;1;12
toscana;734;1;12
toscana;758;1;12
toscana;789;1;12
toscana;848;1;12
toscana;888;1;12
aeronautica;6694;1;13
aeronautica;6695;1;13
aeronautica;6709;1;13
aeronautica;6717;1;13
aeronautica;6718;1;13
aeronautica;6721;1;13
aeronautica;6723;1;13
aeronautica;6726;1;13
aeronautica;6729;1;13
aeronautica;6730;1;13
aeronautica;6733;1;13
aeronautica;6735;1;13
aeronautica;6766;1;13
aeronautica;6769;1;13
emilia;9049;1;13
emilia;9102;1;13
emilia;9120;1;13
emilia;9121;1;13
emilia;9127;1;13
emilia;9146;1;13
emilia;9154;1;13
emilia;9162;1;13
emilia;9206;1;13
emilia;9210;1;13
emilia;9240;1;13
emilia;9248;1;13
emilia;9273;1;13
emilia;9358;1;13
emilia;9566;1;13
emilia;12652;1;13
emilia;12808;1;13
emilia;12838;1;13
emilia;12893;1;13
emilia;13051;1;13
emilia;13147;1;13
emilia;13302;1;13
friuli;30;1;13
friuli;36;1;13
friuli;174;1;13
friuli;186;1;13
friuli;211;1;13
friuli;257;1;13
friuli;334;1;13
friuli;348;1;13
liguria;160;1;13
lombardia;18;1;13
lombardia;32;1;13
lombardia;58;1;13
lombardia;103;1;13
lombardia;156;1;13
lombardia;161;1;13
lombardia;189;1;13
lombardia;243;1;13
marche;29;1;13
marche;109;1;13
marche;702;1;13
marche;1400;1;13
piemonte;5;1;13
piemonte;14;1;13
piemonte;20;1;13
piemonte;22;1;13
piemonte;45;1;13
piemonte;159;1;13
abruzzo;606;2;2
abruzzo;1937;2;2
abruzzo;1938;2;2
abruzzo;1955;2;2
abruzzo;1972;2;2
abruzzo;1982;2;2
abruzzo;2003;2;2
abruzzo;2023;2;2
abruzzo;2024;2;2
abruzzo;2031;2;2
abruzzo;2049;2;2
abruzzo;2076;2;2
abruzzo;2137;2;2
aeronautica;6736;2;2
aeronautica;6771;2;2
aeronautica;6812;2;2
aeronautica;6839;2;2
aeronautica;6844;2;2
aeronautica;6850;2;2
aeronautica;6856;2;2
aeronautica;6858;2;2
aeronautica;6859;2;2
aeronautica;6867;2;2
aeronautica;6869;2;2
aeronautica;6870;2;2
aeronautica;6883;2;2
aeronautica;6891;2;2
aeronautica;6892;2;2
aeronautica;6893;2;2
aeronautica;6906;2;2
aeronautica;6922;2;2
aeronautica;6923;2;2
calabria;2;2;2
calabria;10;2;2
calabria;20;2;2
calabria;34;2;2
calabria;71;2;2
calabria;108;2;2
calabria;140;2;2
calabria;157;2;2
calabria;255;2;2
calabria;265;2;2
calabria;284;2;2
calabria;317;2;2
calabria;327;2;2
calabria;331;2;2
calabria;345;2;2
calabria;380;2;2
friuli;328;2;2
friuli;419;2;2
lazio;240;2;2
lazio;276;2;2
lazio;289;2;2
lazio;333;2;2
liguria;155;2;2
liguria;215;2;2
liguria;312;2;2
liguria;355;2;2
liguria;377;2;2
liguria;383;2;2
marche;701;2;2
molise;9;2;2
sicilia;9;2;2
sicilia;13;2;2
sicilia;14;2;2
sicilia;16;2;2
sicilia;22;2;2
sicilia;26;2;2
sicilia;28;2;2
sicilia;29;2;2
sicilia;30;2;2
sicilia;56;2;2
sicilia;58;2;2
sicilia;61;2;2
