regione;codStaz;annoI;annoF;parametro;maxPerc
abruzzo;1953;1974;1999;tmax;95
abruzzo;1953;1974;1999;tmin;95
abruzzo;2198;1974;2002;tmax;95
abruzzo;2198;1974;2002;tmin;95
abruzzo;2034;1974;2003;tmax;90
abruzzo;2034;1974;2003;tmin;90
abruzzo;2050;1974;2003;tmax;85
abruzzo;2050;1974;2003;tmin;85
abruzzo;2136;1974;2004;tmax;95
abruzzo;2136;1974;2004;tmin;95
abruzzo;1986;1974;2005;tmax;95
abruzzo;1986;1974;2005;tmin;95
abruzzo;1990;1974;2005;tmax;100
abruzzo;1990;1974;2005;tmin;100
abruzzo;1994;1974;2005;tmax;95
abruzzo;1994;1974;2005;tmin;95
abruzzo;2022;1974;2005;tmax;90
abruzzo;2022;1974;2005;tmin;90
abruzzo;2024;1974;2005;tmax;100
abruzzo;2024;1974;2005;tmin;100
abruzzo;1962;1974;2006;tmax;95
abruzzo;1962;1974;2006;tmin;95
abruzzo;2000;1974;2006;tmax;85
abruzzo;2000;1974;2006;tmin;85
abruzzo;2003;1974;2006;tmax;90
abruzzo;2003;1974;2006;tmin;90
abruzzo;2010;1974;2006;tmax;100
abruzzo;2010;1974;2006;tmin;100
abruzzo;2011;1974;2006;tmax;95
abruzzo;2011;1974;2006;tmin;95
abruzzo;2014;1974;2006;tmax;95
abruzzo;2014;1974;2006;tmin;95
abruzzo;2031;1974;2006;tmax;95
abruzzo;2031;1974;2006;tmin;95
abruzzo;2032;1974;2006;tmax;85
abruzzo;2032;1974;2006;tmin;85
abruzzo;2039;1974;2006;tmax;90
abruzzo;2039;1974;2006;tmin;90
abruzzo;2041;1974;2006;tmax;95
abruzzo;2041;1974;2006;tmin;95
abruzzo;2043;1974;2006;tmax;90
abruzzo;2043;1974;2006;tmin;90
abruzzo;1940;1974;2009;tmax;100
abruzzo;1940;1974;2009;tmin;100
abruzzo;1996;1974;2009;tmax;85
abruzzo;1996;1974;2009;tmin;85
abruzzo;2071;1974;2011;tmax;100
abruzzo;2071;1974;2011;tmin;100
abruzzo;1950;1974;2012;tmax;85
abruzzo;1950;1974;2012;tmin;85
abruzzo;1979;1974;2012;tmax;85
abruzzo;1979;1974;2012;tmin;85
abruzzo;2279;1974;2012;tmax;90
abruzzo;2279;1974;2012;tmin;90
abruzzo;2062;1974;2013;tmax;100
abruzzo;2062;1974;2013;tmin;100
abruzzo;404;1974;2013;tmax;85
abruzzo;404;1974;2013;tmin;85
abruzzo;2029;1974;2014;tmax;95
abruzzo;2029;1974;2014;tmin;95
abruzzo;2085;1974;2014;tmax;100
abruzzo;2085;1974;2014;tmin;100
abruzzo;2213;1974;2014;tmax;95
abruzzo;2213;1974;2014;tmin;95
abruzzo;1540;1974;2015;tmax;95
abruzzo;1540;1974;2015;tmin;95
abruzzo;1707;1974;2015;tmax;95
abruzzo;1707;1974;2015;tmin;95
abruzzo;1932;1974;2015;tmax;85
abruzzo;1932;1974;2015;tmin;85
abruzzo;1951;1974;2015;tmax;80
abruzzo;1951;1974;2015;tmin;80
abruzzo;1975;1974;2015;tmax;95
abruzzo;1975;1974;2015;tmin;95
abruzzo;1982;1974;2015;tmax;95
abruzzo;1982;1974;2015;tmin;95
abruzzo;1999;1974;2015;tmax;90
abruzzo;1999;1974;2015;tmin;90
abruzzo;2;1974;2015;tmax;95
abruzzo;2;1974;2015;tmin;95
abruzzo;2135;1974;2015;tmax;95
abruzzo;2135;1974;2015;tmin;95
abruzzo;2159;1974;2015;tmax;95
abruzzo;2159;1974;2015;tmin;95
abruzzo;2176;1974;2015;tmax;85
abruzzo;2176;1974;2015;tmin;85
abruzzo;2256;1974;2015;tmax;95
abruzzo;2256;1974;2015;tmin;95
abruzzo;2258;1974;2015;tmax;95
abruzzo;2258;1974;2015;tmin;95
abruzzo;2262;1974;2015;tmax;85
abruzzo;2262;1974;2015;tmin;85
abruzzo;2274;1974;2015;tmax;95
abruzzo;2274;1974;2015;tmin;95
abruzzo;606;1974;2015;tmax;100
abruzzo;606;1974;2015;tmin;100
abruzzo;2224;1975;2012;tmax;90
abruzzo;2224;1975;2012;tmin;90
abruzzo;2261;1975;2012;tmax;100
abruzzo;2261;1975;2012;tmin;100
abruzzo;1944;1976;2008;tmax;95
abruzzo;1944;1976;2008;tmin;95
abruzzo;1938;1976;2009;tmax;100
abruzzo;1938;1976;2009;tmin;100
abruzzo;2023;1978;2006;tmax;95
abruzzo;2023;1978;2006;tmin;95
abruzzo;102;1980;2014;tmax;85
abruzzo;102;1980;2014;tmin;85
abruzzo;2049;1982;2003;tmax;90
abruzzo;2049;1982;2003;tmin;90
abruzzo;1112;1983;2015;tmax;90
abruzzo;1112;1983;2015;tmin;90
abruzzo;2142;1984;2013;tmax;100
abruzzo;2142;1984;2013;tmin;100
abruzzo;2004;1986;2001;tmax;100
abruzzo;2004;1986;2001;tmin;100
abruzzo;2007;1986;2006;tmax;95
abruzzo;2007;1986;2006;tmin;95
abruzzo;2037;1986;2006;tmax;100
abruzzo;2037;1986;2006;tmin;100
abruzzo;1946;1986;2008;tmax;100
abruzzo;1946;1986;2008;tmin;100
abruzzo;1957;1986;2010;tmax;80
abruzzo;1957;1986;2010;tmin;80
abruzzo;1965;1986;2012;tmax;90
abruzzo;1965;1986;2012;tmin;90
abruzzo;1972;1986;2012;tmax;95
abruzzo;1972;1986;2012;tmin;95
abruzzo;2280;1986;2015;tmax;90
abruzzo;2280;1986;2015;tmin;90
abruzzo;1937;1987;2014;tmax;100
abruzzo;1937;1987;2014;tmin;100
abruzzo;2137;1987;2015;tmax;100
abruzzo;2137;1987;2015;tmin;100
abruzzo;2025;1989;2006;tmax;95
abruzzo;2025;1989;2006;tmin;95
abruzzo;2076;1989;2014;tmax;90
abruzzo;2076;1989;2014;tmin;90
abruzzo;1955;1990;2009;tmax;90
abruzzo;1955;1990;2009;tmin;90
abruzzo;2222;1990;2015;tmax;80
abruzzo;2222;1990;2015;tmin;80
abruzzo;1960;1991;2005;tmax;100
abruzzo;1960;1991;2005;tmin;100
abruzzo;2015;1992;2006;tmax;100
abruzzo;2015;1992;2006;tmin;100
abruzzo;2072;1992;2011;tmax;100
abruzzo;2072;1992;2011;tmin;100
abruzzo;2048;1993;2003;tmax;100
abruzzo;2048;1993;2003;tmin;100
abruzzo;2088;1993;2010;tmax;100
abruzzo;2088;1993;2010;tmin;100
abruzzo;2122;1993;2013;tmax;90
abruzzo;2122;1993;2013;tmin;90
abruzzo;2080;1994;2009;tmax;95
abruzzo;2080;1994;2009;tmin;95
abruzzo;2236;1994;2012;tmax;85
abruzzo;2236;1994;2012;tmin;85
abruzzo;2018;1995;2006;tmax;100
abruzzo;2018;1995;2006;tmin;100
abruzzo;2020;1996;2006;tmax;100
abruzzo;2020;1996;2006;tmin;100
abruzzo;1971;1996;2009;tmax;95
abruzzo;1971;1996;2009;tmin;95
abruzzo;2079;1996;2011;tmax;85
abruzzo;2079;1996;2011;tmin;85
abruzzo;2158;1996;2011;tmax;100
abruzzo;2158;1996;2011;tmin;100
abruzzo;2077;1997;2010;tmax;100
abruzzo;2077;1997;2010;tmin;100
abruzzo;2265;1997;2010;tmax;100
abruzzo;2265;1997;2010;tmin;100
abruzzo;2078;1997;2013;tmax;100
abruzzo;2078;1997;2013;tmin;100
abruzzo;1338;1998;2009;tmax;95
abruzzo;1338;1998;2009;tmin;95
abruzzo;1995;1998;2010;tmax;100
abruzzo;1995;1998;2010;tmin;100
abruzzo;2204;1998;2011;tmax;100
abruzzo;2204;1998;2011;tmin;100
abruzzo;1137;1998;2012;tmax;100
abruzzo;1137;1998;2012;tmin;100
abruzzo;1808;1998;2014;tmax;100
abruzzo;1808;1998;2014;tmin;100
abruzzo;2038;1998;2014;tmax;100
abruzzo;2038;1998;2014;tmin;100
abruzzo;2082;1998;2014;tmax;95
abruzzo;2082;1998;2014;tmin;95
abruzzo;2094;1998;2015;tmax;95
abruzzo;2094;1998;2015;tmin;95
abruzzo;2203;1998;2015;tmax;85
abruzzo;2203;1998;2015;tmin;85
abruzzo;1963;1999;2009;tmax;100
abruzzo;1963;1999;2009;tmin;100
abruzzo;2145;1999;2011;tmax;95
abruzzo;1964;1999;2012;tmax;90
abruzzo;1964;1999;2012;tmin;90
abruzzo;2184;1999;2013;tmax;95
abruzzo;2184;1999;2013;tmin;95
abruzzo;2276;1999;2014;tmax;80
abruzzo;2276;1999;2014;tmin;80
abruzzo;2145;1999;2015;tmin;80
abruzzo;2260;2000;2009;tmax;100
abruzzo;2260;2000;2009;tmin;100
abruzzo;2255;2000;2010;tmax;100
abruzzo;2255;2000;2010;tmin;100
abruzzo;1959;2000;2011;tmax;100
abruzzo;1959;2000;2011;tmin;100
abruzzo;2263;2000;2015;tmax;95
abruzzo;2263;2000;2015;tmin;95
abruzzo;2267;2000;2015;tmax;80
abruzzo;2267;2000;2015;tmin;80
abruzzo;1939;2001;2010;tmax;100
abruzzo;1939;2001;2010;tmin;100
abruzzo;1967;2001;2010;tmax;100
abruzzo;1967;2001;2010;tmin;100
abruzzo;2281;2001;2010;tmax;100
abruzzo;2281;2001;2010;tmin;100
abruzzo;2084;2001;2011;tmax;95
abruzzo;2084;2001;2011;tmin;95
abruzzo;2112;2001;2012;tmax;100
abruzzo;2112;2001;2012;tmin;100
abruzzo;2045;2001;2014;tmax;90
abruzzo;2045;2001;2014;tmin;90
abruzzo;2089;2001;2015;tmax;95
abruzzo;2089;2001;2015;tmin;95
abruzzo;1961;2002;2015;tmax;100
abruzzo;1961;2002;2015;tmin;100
aeronautica;6695;1961;1994;tmax;95
aeronautica;6695;1961;1994;tmin;95
aeronautica;6710;1961;2006;tmax;95
aeronautica;6710;1961;2006;tmin;95
aeronautica;6766;1961;2006;tmax;95
aeronautica;6766;1961;2006;tmin;95
aeronautica;6814;1961;2006;tmax;95
aeronautica;6814;1961;2006;tmin;95
aeronautica;6849;1961;2006;tmax;90
aeronautica;6849;1961;2006;tmin;90
aeronautica;6726;1961;2007;tmax;95
aeronautica;6726;1961;2007;tmin;95
aeronautica;6749;1961;2007;tmax;80
aeronautica;6749;1961;2007;tmin;80
aeronautica;6834;1961;2008;tmax;100
aeronautica;6834;1961;2008;tmin;100
aeronautica;6694;1961;2013;tmax;90
aeronautica;6694;1961;2013;tmin;90
aeronautica;6721;1961;2013;tmax;100
aeronautica;6721;1961;2013;tmin;100
aeronautica;6800;1961;2014;tmax;95
aeronautica;6800;1961;2014;tmin;95
aeronautica;6686;1961;2015;tmax;90
aeronautica;6686;1961;2015;tmin;90
aeronautica;6691;1961;2015;tmax;95
aeronautica;6691;1961;2015;tmin;95
aeronautica;6692;1961;2015;tmax;95
aeronautica;6692;1961;2015;tmin;95
aeronautica;6697;1961;2015;tmax;90
aeronautica;6697;1961;2015;tmin;90
aeronautica;6709;1961;2015;tmax;95
aeronautica;6709;1961;2015;tmin;95
aeronautica;6720;1961;2015;tmax;95
aeronautica;6720;1961;2015;tmin;95
aeronautica;6723;1961;2015;tmax;95
aeronautica;6723;1961;2015;tmin;95
aeronautica;6729;1961;2015;tmax;95
aeronautica;6729;1961;2015;tmin;95
aeronautica;6730;1961;2015;tmax;95
aeronautica;6730;1961;2015;tmin;95
aeronautica;6758;1961;2015;tmax;95
aeronautica;6758;1961;2015;tmin;95
aeronautica;6769;1961;2015;tmax;95
aeronautica;6769;1961;2015;tmin;95
aeronautica;6773;1961;2015;tmax;100
aeronautica;6773;1961;2015;tmin;100
aeronautica;6779;1961;2015;tmax;95
aeronautica;6779;1961;2015;tmin;95
aeronautica;6782;1961;2015;tmax;95
aeronautica;6782;1961;2015;tmin;95
aeronautica;6794;1961;2015;tmax;100
aeronautica;6794;1961;2015;tmin;100
aeronautica;6797;1961;2015;tmax;85
aeronautica;6797;1961;2015;tmin;85
aeronautica;6803;1961;2015;tmax;90
aeronautica;6803;1961;2015;tmin;90
aeronautica;6812;1961;2015;tmax;95
aeronautica;6812;1961;2015;tmin;95
aeronautica;6817;1961;2015;tmax;95
aeronautica;6817;1961;2015;tmin;95
aeronautica;6820;1961;2015;tmax;100
aeronautica;6820;1961;2015;tmin;100
aeronautica;6821;1961;2015;tmax;100
aeronautica;6821;1961;2015;tmin;100
aeronautica;6822;1961;2015;tmax;100
aeronautica;6822;1961;2015;tmin;100
aeronautica;6826;1961;2015;tmax;100
aeronautica;6826;1961;2015;tmin;100
aeronautica;6836;1961;2015;tmax;95
